Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
SES,0.49074277,0.023909414,0.4707174,0.015248161,0.020025373,2.726011e-23
ACE15,0.5013176,0.012915877,0.49235097,0.008114955,0.008966655,4.435561e-17
SEX,0.60266095,0.018346185,0.59701556,0.013657395,0.0056453943,0.0013279563
SCZ15,0.4992101,0.0061447816,0.4946292,0.0037863778,0.004580885,3.4943806e-19
ASD9,0.5099982,0.0026446371,0.5076407,0.00199455,0.002357483,3.2295186e-26
ADHD9,0.48635584,0.0051626693,0.48566377,0.003219489,0.00069206953,0.00027966773
batch*PC,0.50693643,0.001177502,0.50630105,0.00081783324,0.0006353855,1.762374e-10
PRS,0.4963335,0.002022687,0.49587688,0.0013166104,0.00045663118,0.05306879
ACE18,0.52372056,0.004026657,0.5255749,0.0030612752,-0.0018543601,3.8948684e-08
SUD15,0.49423072,0.009467316,0.49990603,0.0043363743,-0.005675316,9.847933e-13
SUD18,0.50303626,0.020678876,0.51891327,0.014360048,-0.015877008,1.671423e-20
