Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
SEX,0.52484185,0.028288065,0.5133994,0.024725696,0.011442423,2.6830709e-05
SES,0.46433532,0.014709993,0.45730743,0.013423032,0.0070278943,2.5990616e-07
ACE18,0.5328692,0.0049575143,0.5315942,0.0041596033,0.001275003,0.012810491
SUD18,0.5214824,0.0047232327,0.5211052,0.0040588304,0.0003772378,0.5991233
SCZ15,0.48958856,0.0018658371,0.48935658,0.001845974,0.00023198128,0.24074467
ASD9,0.5055267,0.0007620454,0.50535506,0.0005384585,0.00017166138,0.061051544
ACE15,0.4503856,0.00971641,0.4502663,0.0080850925,0.0001192987,0.41684803
batch*PC,0.50082225,0.00013399459,0.5007814,0.00010150531,4.082918e-05,0.0061469674
PRS,0.49558362,0.0006882421,0.4956232,0.00053235213,-3.9577484e-05,0.85532707
ADHD9,0.488174,0.0023824375,0.48867893,0.0019928783,-0.00050494075,0.086526014
SUD15,0.477992,0.004715818,0.4795143,0.0035932364,-0.0015223026,0.0011794637
