Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
ACE18,0.56978106,0.017000286,0.56263214,0.011361827,0.0071489215,6.629175e-07
SUD18,0.45699152,0.010844913,0.45418844,0.008776423,0.0028030872,0.0023774155
SCZ15,0.50942415,0.006199841,0.50662863,0.0037617395,0.0027955174,3.4052732e-08
batch*PC,0.50836426,0.0016410339,0.5076504,0.0011374479,0.00071388483,7.4020693e-07
ADHD9,0.48067737,0.0039884415,0.48073632,0.0034572182,-5.8948994e-05,0.70815074
ASD9,0.5007992,0.0025892362,0.5009888,0.0017498299,-0.00018960238,0.2723058
SUD15,0.4891802,0.00476252,0.4899165,0.0036825277,-0.0007362962,0.17660855
PRS,0.4936625,0.004332983,0.49663243,0.003090235,-0.0029699206,1.728278e-17
SES,0.4031773,0.016790234,0.40829802,0.0144391535,-0.0051207244,0.0003642595
ACE15,0.46964917,0.01378427,0.4764436,0.009890528,-0.006794423,3.982486e-09
SEX,0.40551433,0.025345452,0.41691846,0.017532827,-0.011404127,2.98845e-09
