Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
SEX,0.56563574,0.014708274,0.5598182,0.011541719,0.0058175325,2.2895638e-05
ACE18,0.5610203,0.0093015395,0.55638516,0.0063253096,0.004635155,5.026761e-08
SCZ15,0.5056508,0.00438729,0.504238,0.0039455476,0.0014128089,0.000897954
ASD9,0.51028794,0.0017356104,0.5094123,0.0010679306,0.00087565184,4.4388525e-08
ADHD9,0.50513685,0.0015123567,0.5044865,0.0010302677,0.0006503463,5.468432e-06
SUD18,0.50090027,0.0091679,0.50036865,0.0068077403,0.0005316138,0.943255
batch*PC,0.5029613,0.00054541085,0.5027231,0.00033749174,0.00023818016,4.294624e-06
PRS,0.50302833,0.0004655501,0.5028477,0.00027292836,0.00018066168,2.416899e-05
SUD15,0.46894705,0.009728788,0.47107652,0.006653723,-0.0021294653,0.07503574
ACE15,0.4576421,0.009896073,0.46043596,0.006069402,-0.0027938485,0.014158592
SES,0.4667607,0.010013057,0.47037154,0.0061586685,-0.0036108494,0.00048633805
