Variable,Estimate,Std. Error,t value,p_value,significance
ACE18_emotional_abuse18,-0.0382,0.0041,-9.21,6.76e-20,***
SCZ15_Extreme_excitement15,0.0101,0.0019,5.207,2.08e-7,***
SCZ15_Seen_hallucinations15,0.0211,0.0045,4.704,2.69e-6,***
SCZ15_Too_much_energy15,0.0103,0.0025,4.111,4.07e-5,***
ACE18_witness_crime18,-0.024,0.0063,-3.801,1.48e-4,***
SCZ15_headaches15,0.0089,0.0027,3.241,0.00121,**
SCZ15_Special_messages15,0.0776,0.0245,3.172,0.00153,**
ACE15_emotional_bullying15,0.0402,0.0131,3.067,0.00218,**
SCZ15_Talking_fast15,0.008,0.0026,3.055,0.00227,**
SCZ15_Read_others_minds15,0.0069,0.0025,2.782,0.00545,**
SUD15_OtherDrugs15:PRS_MGE_interneuron,0.1126,0.0435,2.591,0.00963,**
SUD15_Alcohol15:ACE15_emotional_bullying15,-0.0088,0.0035,-2.503,0.0124,*
SUD15_Alcohol15:SCZ15_Special_messages15,-0.0166,0.0067,-2.473,0.0135,*
SUD15_OtherDrugs15:PRS_Eccentric_medium_spiny_neu,0.0991,0.0401,2.469,0.0136,*
SUD15_Painkillers_opioids15:ACE18_other_abuse18,0.3727,0.1559,2.39,0.0169,*
SCZ15_Rage_attacks15,0.0094,0.004,2.37,0.0179,*
SUD15_Snuff15:SCZ15_Extreme_excitement15,-0.0074,0.0031,-2.362,0.0183,*
SUD15_Painkillers_opioids15:SCZ15_Under_control_special_power15,-0.0143,0.0061,-2.36,0.0184,*
SCZ15_Spied15,0.0065,0.0028,2.3,0.0215,*
SUD15_Alcohol15:PRS_CGE_interneuron,0.0343,0.0156,2.197,0.0281,*
SUD15_Painkillers_opioids15,-0.3427,0.1579,-2.171,0.03,*
ASD9_easily_influenced9,0.0077,0.0038,1.995,0.0461,*
