Variable,Estimate,Std. Error,t value,p_value,significance
ACE18_emotional_abuse18,-0.0817,0.0072,-11.268,0,***
SCZ15_unhappy15,0.0415,0.0064,6.494,9.84e-11,***
SCZ15_headaches15,0.0303,0.0048,6.328,2.88e-10,***
SCZ15_worry15,0.019,0.005,3.76,1.73e-4,***
SCZ15_Extreme_excitement15,-0.0122,0.0034,-3.578,3.52e-4,***
SCZ15_Too_much_energy15,0.0132,0.0044,3.016,0.00258,**
SUD15_Cigarettes15:ADHD9_difficulty_calm9,0.0423,0.0153,2.762,0.00578,**
factor(batch)GSA3:PC1,-2.9011,1.0901,-2.661,0.00783,**
SUD15_Alcohol15:ASD9_uninterested_sharing9,0.057,0.0215,2.652,0.00804,**
PRS_all,0.0253,0.0101,2.491,0.0128,*
ASD9_uninterested_sharing9,-0.1892,0.0766,-2.469,0.0136,*
SUD15_Snuff15:ASD9_difficulty_socialize9,-0.075,0.0307,-2.441,0.0147,*
ASD9_repeat_words9,-0.1206,0.0497,-2.426,0.0153,*
SUD15_Alcohol15:ASD9_repeat_words9,0.0316,0.0134,2.366,0.0181,*
ADHD9_often_blurt_out9,-0.0187,0.008,-2.338,0.0195,*
SUD15_Cigarettes15:SCZ15_worry15,-0.0123,0.0053,-2.334,0.0197,*
SEX,0.0569,0.0252,2.253,0.0243,*
SUD15_OtherDrugs15:SCZ15_headaches15,0.0275,0.0125,2.204,0.0276,*
factor(batch)GSA1:PC1,0.9532,0.4347,2.193,0.0284,*
SUD15_Alcohol15:PRS_Upper_layer_intratelenceph,0.0601,0.0286,2.105,0.0354,*
SUD15_Painkillers_opioids15:ASD9_talk_too_high_low9,-0.0497,0.024,-2.068,0.0387,*
ASD9_talk_too_high_low9,0.0188,0.0091,2.061,0.0394,*
SCZ15_Rage_attacks15,0.014,0.0069,2.014,0.0441,*
PRS_Cerebellar_inhibitory,0.064,0.0319,2.006,0.045,*
SCZ15_Special_powers15,-0.0214,0.0107,-1.996,0.046,*
factor(batch)GSA3:PC2,2.154,1.1002,1.958,0.0504,.
ACE15_emotional_bullying15,0.0443,0.0228,1.938,0.0527,.
PRS_Upper_layer_intratelenceph,-0.2026,0.1055,-1.921,0.0549,.
factor(batch)PSYC:PC2,-0.4355,0.228,-1.91,0.0562,.
SCZ15_Hear_voices15,0.0236,0.0125,1.897,0.0579,.
SUD15_Snuff15:ADHD9_often_motor9,-0.0266,0.0142,-1.869,0.0617,.
SUD15_OtherDrugs15:PRS_Eccentric_medium_spiny_neu,0.1271,0.07,1.816,0.0695,.
SCZ15_Unrealistic_abilities15,0.0248,0.0137,1.803,0.0715,.
SUD15_Alcohol15:SCZ15_lose_confidence15,0.0077,0.0044,1.763,0.078,.
SUD15_OtherDrugs15:SCZ15_Read_others_minds15,0.0204,0.0116,1.762,0.0782,.
ASD9_absorbed_problems9,-0.03,0.0176,-1.701,0.0891,.
SUD15_Cigarettes15:ASD9_absorbed_own9,0.0202,0.0119,1.694,0.0903,.
SUD15_Cigarettes15:ADHD9_fail_close_attention9,-0.0166,0.0101,-1.65,0.099,.
SES_education_mother,0.0058,0.0036,1.62,0.105,
SUD15_Snuff15:ASD9_absorbed_problems9,-0.1112,0.0689,-1.614,0.107,
SUD15_OtherDrugs15:ASD9_difficulty_on_track9,-0.0607,0.0377,-1.611,0.107,
SUD15_Cigarettes15:PRS_Hippocampal_CA1_3,0.0637,0.0404,1.575,0.115,
SUD15_Painkillers_opioids15:SCZ15_PROD_seen_hallucinations9,-0.0388,0.0254,-1.529,0.126,
SES_birth_country_father,-0.0315,0.0207,-1.524,0.128,
ADHD9_difficulty_organizing_tasks9,-0.0188,0.0124,-1.515,0.13,
SUD15_Cigarettes15:SES_birth_country_mother,0.0112,0.0074,1.514,0.13,
SCZ15_Talking_fast15,0.0067,0.0046,1.462,0.144,
SUD15_Cigarettes15:ASD9_delay_language9,0.0156,0.0107,1.456,0.145,
ASD9_dislike_change9,0.0127,0.0089,1.437,0.151,
ADHD9_not_listening9,0.0388,0.0277,1.402,0.161,
ASD9_difficulty_pretend_play9,-0.0222,0.0162,-1.373,0.17,
SUD15_Alcohol15:ADHD9_not_listening9,-0.0102,0.0076,-1.344,0.179,
SUD15_OtherDrugs15:SCZ15_Too_much_energy15,-0.0148,0.011,-1.341,0.18,
SUD15_Snuff15:SCZ15_Others_Read_thoughts15,-0.013,0.0098,-1.335,0.182,
SUD15_Cannabis15:SCZ15_Unrealistic_abilities15,-0.0386,0.0292,-1.321,0.187,
SUD15_Painkillers_opioids15:ADHD9_difficulty_waiting9,0.0213,0.0168,1.265,0.206,
ASD9_difficulty_converse9,-0.0296,0.0234,-1.263,0.207,
SCZ15_Read_others_minds15,-0.0053,0.0043,-1.23,0.219,
SUD15_Snuff15,0.0461,0.0376,1.227,0.22,
SUD15_OtherDrugs15:ADHD9_avoid_mental_effort_tasks9,0.0259,0.0217,1.193,0.233,
ASD9_absorbed_details9,0.0122,0.0103,1.188,0.235,
SUD15_Painkillers_opioids15:SES_birth_country_mother,0.0218,0.0186,1.17,0.242,
ADHD9_easily_distracted9,0.0094,0.008,1.163,0.245,
PRS_Hippocampal_CA4,-0.0392,0.0338,-1.16,0.246,
SCZ15_Racing_thoughts15,-0.0059,0.0052,-1.148,0.251,
PRS_Eccentric_medium_spiny_neu,0.0376,0.0329,1.142,0.254,
SUD15_Painkillers_opioids15:ACE15_bullying_by_num15,0.01,0.0088,1.131,0.258,
SUD15_Cigarettes15:SCZ15_Seen_hallucinations15,-0.0078,0.0069,-1.122,0.262,
SUD15_Cannabis15:SES_education_father,0.0112,0.0103,1.086,0.278,
SUD15_Cannabis15:ADHD9_difficulty_following_instructions9,0.0389,0.0366,1.063,0.288,
SCZ15_lose_confidence15,-0.0167,0.016,-1.043,0.297,
SCZ15_easily_scared15,0.0053,0.005,1.042,0.297,
SUD15_Cigarettes15:ACE18_emotional_abuse18,0.0084,0.0083,1.008,0.314,
SUD15_Cannabis15:ACE15_other_bullying15,-0.0227,0.0226,-1.002,0.316,
SUD15_Painkillers_opioids15:ASD9_difficulty_expect_behavior9,0.0403,0.0404,0.999,0.318,
SUD15_Painkillers_opioids15:ASD9_dislike_change9,-0.0208,0.021,-0.988,0.323,
PRS_Deep_layer_intratelencepha,-0.0357,0.0371,-0.96,0.337,
SUD15_Alcohol15:SES_birth_country_father,0.0054,0.0057,0.953,0.341,
SUD15_Snuff15:SCZ15_Extreme_excitement15,-0.0052,0.0055,-0.939,0.348,
PRS_Medium_spiny_neuron,-0.0322,0.0343,-0.936,0.349,
SUD15_Cannabis15:PRS_all,-0.0351,0.0375,-0.936,0.349,
SUD15_Alcohol15:ACE15_emotional_bullying15,-0.0057,0.0061,-0.927,0.354,
SUD15_Painkillers_opioids15:ADHD9_often_move9,-0.0196,0.0214,-0.918,0.359,
ADHD9_avoid_mental_effort_tasks9,-0.008,0.0088,-0.916,0.36,
SUD15_Alcohol15:SCZ15_Sexual_inappropriate15,0.0189,0.0208,0.909,0.364,
SCZ15_Sexual_inappropriate15,-0.0639,0.0704,-0.908,0.364,
ADHD9_difficulty_following_instructions9,0.0112,0.0123,0.906,0.365,
SUD15_Cannabis15:PRS_LAMP5_LHX6_and_Chandelier,0.0992,0.11,0.902,0.367,
factor(batch)GSA1:PC2,-0.8187,0.9101,-0.9,0.368,
SUD15_OtherDrugs15:SEX,-0.0211,0.0238,-0.89,0.374,
ADHD9_often_run9,-0.0084,0.0097,-0.875,0.382,
SCZ15_Under_control_special_power15,0.0068,0.0078,0.872,0.383,
SUD15_Cannabis15:ASD9_own_terms9,-0.0303,0.0353,-0.856,0.392,
ASD9_difficulty_on_track9,0.0095,0.0111,0.854,0.393,
SUD15_Snuff15:PRS_Cerebellar_inhibitory,0.0484,0.058,0.835,0.404,
SUD15_Painkillers_opioids15,-0.2258,0.2756,-0.819,0.413,
SUD15_OtherDrugs15:SES_education_mother,0.0082,0.0101,0.814,0.416,
SCZ15_Seen_hallucinations15,0.0063,0.0078,0.805,0.421,
ADHD9_difficulty_with_attention9,0.0079,0.0099,0.796,0.426,
ADHD9_fail_close_attention9,-0.0073,0.0093,-0.79,0.429,
factor(batch)PSYC:PC1,0.2069,0.2621,0.789,0.43,
SUD15_Snuff15:SCZ15_unhappy15,-0.0093,0.0119,-0.785,0.433,
SUD15_Cannabis15:SCZ15_easily_scared15,-0.0162,0.0214,-0.756,0.45,
SUD15_Snuff15:ADHD9_easily_distracted9,-0.0103,0.0138,-0.745,0.456,
SUD15_Cannabis15:ADHD9_often_blurt_out9,-0.0225,0.0318,-0.708,0.479,
SUD15_Alcohol15:SEX,-0.0047,0.0067,-0.7,0.484,
SUD15_Painkillers_opioids15:ADHD9_difficulty_organizing_tasks9,0.0183,0.0264,0.694,0.488,
SCZ15_Special_messages15,0.0296,0.0427,0.692,0.489,
ADHD9_easily_bored9,-0.0052,0.0076,-0.688,0.492,
SCZ15_Irritable15,0.0104,0.0155,0.674,0.5,
SUD15_Painkillers_opioids15:SCZ15_Under_control_special_power15,-0.0069,0.0106,-0.652,0.514,
ACE15_other_bullying15,-0.0042,0.0065,-0.638,0.523,
SUD15_Painkillers_opioids15:ACE18_other_abuse18,0.1706,0.2722,0.627,0.531,
ACE15_bullying_time15,0.0026,0.0043,0.619,0.536,
ASD9_absorbed_own9,0.0066,0.0107,0.618,0.537,
SUD15_Snuff15:ADHD9_difficulty_with_attention9,0.0084,0.0137,0.611,0.542,
PRS_CGE_interneuron,-0.0596,0.1005,-0.593,0.553,
PRS_Miscellaneous,0.0205,0.0352,0.582,0.56,
ADHD9_difficulty_hold_still9,-0.005,0.0086,-0.58,0.562,
ASD9_easily_influenced9,0.0038,0.0067,0.573,0.567,
PRS_LAMP5_LHX6_and_Chandelier,-0.0194,0.034,-0.571,0.568,
SUD15_Cannabis15:ACE15_rumours_bullying15,-0.0114,0.0205,-0.559,0.576,
SUD15_Cannabis15:PRS_Deep_layer_corticothalamic,0.0534,0.0975,0.548,0.584,
SUD15_OtherDrugs15:ASD9_easily_influenced9,-0.0093,0.017,-0.547,0.584,
SUD15_Painkillers_opioids15:SCZ15_Hear_voices15,-0.0077,0.0142,-0.541,0.589,
SUD15_Snuff15:PRS_Thalamic_excitatory,0.0278,0.0525,0.53,0.596,
PRS_MGE_interneuron,-0.0173,0.0329,-0.526,0.599,
SUD15_Painkillers_opioids15:SCZ15_Not_tired15,-0.0036,0.007,-0.517,0.605,
SUD15_OtherDrugs15,-0.0281,0.0545,-0.516,0.606,
ASD9_difficulty_express9,-0.0142,0.0279,-0.51,0.61,
SCZ15_Others_Read_thoughts15,0.0025,0.0051,0.493,0.622,
SUD15_Cannabis15:ASD9_absorbed_details9,0.0201,0.0412,0.488,0.625,
SUD15_Alcohol15:ACE18_hate_crime18,-0.0084,0.0172,-0.488,0.626,
SUD15_Cigarettes15:ADHD9_easily_bored9,0.0039,0.0082,0.477,0.634,
ADHD9_difficulty_calm9,-0.0076,0.0162,-0.472,0.637,
SUD15_Cigarettes15,-0.0125,0.0266,-0.471,0.638,
ACE18_witness_crime18,-0.005,0.011,-0.457,0.648,
ASD9_difficulty_expect_behavior9,0.0079,0.0179,0.444,0.657,
PRS_Deep_layer_corticothalamic,0.0146,0.0332,0.439,0.661,
SUD15_Alcohol15:SCZ15_Special_messages15,-0.0051,0.0117,-0.435,0.664,
ADHD9_often_interrupt9,0.0041,0.0096,0.427,0.67,
SUD15_Alcohol15:PRS_CGE_interneuron,0.0116,0.0273,0.425,0.671,
SUD15_Cannabis15:SCZ15_Rage_attacks15,-0.0067,0.0159,-0.424,0.671,
SUD15_OtherDrugs15:ADHD9_often_interrupt9,0.009,0.0216,0.418,0.676,
ADHD9_difficulty_waiting9,0.0035,0.0084,0.414,0.679,
SUD15_Cannabis15:ADHD9_difficulty_hold_still9,-0.0124,0.0302,-0.412,0.681,
PRS_Hippocampal_CA1_3,-0.015,0.0369,-0.406,0.685,
SUD15_Alcohol15:ASD9_strange_movements9,0.0052,0.0132,0.395,0.693,
SUD15_Snuff15:SCZ15_Talking_fast15,0.0031,0.0079,0.391,0.696,
SUD15_Alcohol15:ADHD9_talk_excess9,-0.0022,0.0056,-0.39,0.696,
ACE18_hate_crime18,-0.0234,0.0608,-0.385,0.7,
SUD15_Painkillers_opioids15:PRS_Medium_spiny_neuron,-0.0256,0.0665,-0.385,0.7,
SUD15_Cigarettes15:SEX,0.0043,0.0114,0.382,0.703,
ACE15_bullying_by_num15,-0.0024,0.0063,-0.382,0.703,
SUD15_Snuff15:ASD9_difficulty_converse9,0.0323,0.0856,0.378,0.706,
ADHD9_talk_excess9,0.0077,0.0204,0.378,0.706,
SUD15_Snuff15:ACE18_witness_crime18,-0.0058,0.0159,-0.368,0.713,
PRS_Hippocampal_dentate_gyrus,-0.0378,0.1044,-0.362,0.717,
SUD15_Cigarettes15:SCZ15_Racing_thoughts15,0.0017,0.0047,0.356,0.722,
ASD9_delay_language9,0.0028,0.0079,0.348,0.728,
SUD15_Snuff15:SEX,-0.005,0.0148,-0.338,0.735,
SUD15_Snuff15:SES_education_mother,0.002,0.0061,0.325,0.745,
SUD15_Cigarettes15:PRS_Miscellaneous,-0.0121,0.0388,-0.311,0.756,
ASD9_difficulty_socialize9,0.0054,0.0173,0.311,0.756,
SUD15_Cigarettes15:SCZ15_Spied15,0.0017,0.0054,0.31,0.757,
SUD15_OtherDrugs15:PRS_MGE_interneuron,0.0234,0.0758,0.309,0.757,
SUD15_Painkillers_opioids15:SEX,0.0042,0.0135,0.308,0.758,
SCZ15_Spied15,-0.0015,0.005,-0.306,0.76,
ASD9_own_terms9,0.004,0.0133,0.302,0.762,
SUD15_Cigarettes15:PRS_Amygdala_excitatory,0.0112,0.0394,0.283,0.777,
SUD15_Alcohol15:PRS_Hippocampal_dentate_gyrus,0.0078,0.0285,0.275,0.783,
SUD15_Cigarettes15:ASD9_difficulty_express9,-0.0184,0.0693,-0.265,0.791,
SUD15_Cannabis15:SEX,-0.0066,0.0262,-0.25,0.802,
ADHD9_often_motor9,0.0032,0.0127,0.249,0.804,
PRS_Thalamic_excitatory,0.0075,0.0308,0.243,0.808,
SUD15_Alcohol15:SCZ15_Irritable15,0.001,0.0043,0.243,0.808,
ASD9_strange_movements9,-0.0118,0.049,-0.241,0.81,
