Variable,Estimate,Std. Error,t value,p_value,significance
ACE18_emotional_abuse18,-0.0817,0.0072,-11.268,0,***
SCZ15_unhappy15,0.0415,0.0064,6.494,9.84e-11,***
SCZ15_headaches15,0.0303,0.0048,6.328,2.88e-10,***
SCZ15_worry15,0.019,0.005,3.76,1.73e-4,***
SCZ15_Extreme_excitement15,-0.0122,0.0034,-3.578,3.52e-4,***
SCZ15_Too_much_energy15,0.0132,0.0044,3.016,0.00258,**
SUD15_Cigarettes15:ADHD9_difficulty_calm9,0.0423,0.0153,2.762,0.00578,**
factor(batch)GSA3:PC1,-2.9011,1.0901,-2.661,0.00783,**
SUD15_Alcohol15:ASD9_uninterested_sharing9,0.057,0.0215,2.652,0.00804,**
PRS_all,0.0253,0.0101,2.491,0.0128,*
ASD9_uninterested_sharing9,-0.1892,0.0766,-2.469,0.0136,*
SUD15_Snuff15:ASD9_difficulty_socialize9,-0.075,0.0307,-2.441,0.0147,*
ASD9_repeat_words9,-0.1206,0.0497,-2.426,0.0153,*
SUD15_Alcohol15:ASD9_repeat_words9,0.0316,0.0134,2.366,0.0181,*
ADHD9_often_blurt_out9,-0.0187,0.008,-2.338,0.0195,*
SUD15_Cigarettes15:SCZ15_worry15,-0.0123,0.0053,-2.334,0.0197,*
SEX,0.0569,0.0252,2.253,0.0243,*
SUD15_OtherDrugs15:SCZ15_headaches15,0.0275,0.0125,2.204,0.0276,*
factor(batch)GSA1:PC1,0.9532,0.4347,2.193,0.0284,*
SUD15_Alcohol15:PRS_Upper_layer_intratelenceph,0.0601,0.0286,2.105,0.0354,*
SUD15_Painkillers_opioids15:ASD9_talk_too_high_low9,-0.0497,0.024,-2.068,0.0387,*
ASD9_talk_too_high_low9,0.0188,0.0091,2.061,0.0394,*
SCZ15_Rage_attacks15,0.014,0.0069,2.014,0.0441,*
PRS_Cerebellar_inhibitory,0.064,0.0319,2.006,0.045,*
SCZ15_Special_powers15,-0.0214,0.0107,-1.996,0.046,*
