Model;Adjusted R-Squared;R-Squared;RMSE;Time Taken
LarsCV;0.21283426020509977;0.29331371753563973;0.08444596412714624;0.09981417655944824
LassoCV;0.21271494379302824;0.2932065999777722;0.0844523639278223;0.07015132904052734
LassoLarsCV;0.2126958597020463;0.29318946703533266;0.08445338750042615;0.06354665756225586
ElasticNetCV;0.21267914330223392;0.2931744597124242;0.08445428407204633;0.07660698890686035
LassoLarsIC;0.21113579631794355;0.291788903802477;0.08453701936995296;2.049044132232666
BayesianRidge;0.2008152087368661;0.2825234882720453;0.08508821475989725;0.21489620208740234
HuberRegressor;0.19824839522722992;0.2802191045759552;0.0852247479462152;0.32849717140197754
RidgeCV;0.1951715065043529;0.2774567955180266;0.08538812520556219;0.10101532936096191
Ridge;0.19496508857334693;0.27727148165981097;0.08539907443902822;0.010656595230102539
Lars;0.19494177949861735;0.2772505556939875;0.08540031075746055;0.03472614288330078
LinearRegression;0.19494177949861669;0.27725055569398693;0.08540031075746059;0.030699968338012695
TransformedTargetRegressor;0.19494177949861669;0.27725055569398693;0.08540031075746059;0.02993178367614746
TweedieRegressor;0.1875612967598964;0.270624650060978;0.0857908772451014;0.18391990661621094
OrthogonalMatchingPursuit;0.18431595323624184;0.26771110894237093;0.08596205531537428;0.011220932006835938
GradientBoostingRegressor;0.18153107373860966;0.2652109542229777;0.08610867457429436;1.5008454322814941
RandomForestRegressor;0.1796960128185917;0.26356350907375026;0.08620515117093963;4.048257112503052
OrthogonalMatchingPursuitCV;0.17756328647374098;0.26164883167360187;0.08631714175901313;0.019232511520385742
ExtraTreesRegressor;0.17155178864544596;0.2562519465736136;0.08663202954996109;2.6255502700805664
HistGradientBoostingRegressor;0.13436224923354034;0.22286464828950747;0.08855516579450409;0.7194721698760986
LGBMRegressor;0.12584231313038896;0.21521578647148842;0.08898989553755415;0.2279815673828125
BaggingRegressor;0.08373272193457793;0.177411460198326;0.09110808014129954;0.41480565071105957
PoissonRegressor;0.08040029926589487;0.174419742865779;0.09127360775815868;0.2742736339569092
SVR;0.0664625711709248;0.16190700157701332;0.09196269163528009;0.18438124656677246
NuSVR;-0.0005884735765677718;0.10171122430613866;0.09520802459110154;1.3095712661743164
LinearSVR;-0.002521538236841092;0.09997579527325462;0.0952999477287125;0.4403979778289795
AdaBoostRegressor;-0.04264096409287177;0.06395816076569838;0.09718812384859546;0.5457260608673096
PassiveAggressiveRegressor;-0.06062331748774019;0.0478143147773159;0.09802263929973362;0.015486478805541992
KNeighborsRegressor;-0.08370171271316429;0.027095443893342286;0.09908335108975055;0.07626056671142578
Lasso;-0.1139902109017994;-9.637239674686882e-05;0.10045845480267226;0.011980295181274414
LassoLars;-0.1139902109017994;-9.637239674686882e-05;0.10045845480267226;0.012328624725341797
DummyRegressor;-0.1139902109017994;-9.637239674686882e-05;0.10045845480267226;0.008783340454101562
ElasticNet;-0.1139902109017994;-9.637239674686882e-05;0.10045845480267226;0.009589195251464844
QuantileRegressor;-0.11437649896518942;-0.00044316654907960995;0.10047587081677613;0.38434910774230957
ExtraTreeRegressor;-0.6544253740158406;-0.4852776970229844;0.12242479843794776;0.04414486885070801
DecisionTreeRegressor;-0.705577082165062;-0.5311996784383517;0.12430296340273425;0.09514689445495605
KernelRidge;-1.6806894092069302;-1.4066169769121615;0.15583645341316618;0.303483247756958
GaussianProcessRegressor;-2.0532410708233377;-1.7410791307683713;0.16631306005404609;0.8602118492126465
MLPRegressor;-4.024091707243317;-3.5104309192583623;0.21334112732114918;0.774566650390625
RANSACRegressor;-15.371239864572662;-13.697451952420638;0.385111592986723;0.521406888961792
SGDRegressor;-309.90224167653804;-278.11574179724255;1.6782541633450352;0.015379905700683594
