modality,modality_idx,depth,val_rmse,val_r2,val_spearman,val_pearson,time_seconds
PRS,0,1,0.15004397979361525,0.2485257387161255,0.4922090006794017,0.5095631,50.376452684402466
PRS,0,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,53.13352108001709
PRS,0,3,0.15223305299512413,0.2264384627342224,0.48947613069072476,0.50050217,59.85568904876709
PRS,0,4,0.15353584326277497,0.21314173936843872,0.48952191616962903,0.5034606,89.10744643211365
PRS,0,5,0.15042347982629722,0.24471962451934814,0.4974633906113221,0.51003563,69.66746926307678
SCZ15,1,1,0.15311574348381127,0.21744179725646973,0.47935098701713774,0.49041086,42.280264377593994
SCZ15,1,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,53.1444730758667
SCZ15,1,3,0.1533267937037486,0.21528291702270508,0.4878672267121274,0.50717205,83.8208429813385
SCZ15,1,4,0.1496070662437362,0.2528958320617676,0.4955733334185933,0.5171299,83.87428188323975
SCZ15,1,5,0.153075076742681,0.21785742044448853,0.48825713450053587,0.5083963,97.72979307174683
ADHD9,2,1,0.15478282168580276,0.20030856132507324,0.4636488457774097,0.48178306,43.37477111816406
ADHD9,2,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.19433665275574
ADHD9,2,3,0.15339180925473025,0.21461737155914307,0.4837619735541806,0.50059074,61.57994794845581
ADHD9,2,4,0.1535799052070959,0.21268999576568604,0.4829086143487797,0.49982023,55.86797261238098
ADHD9,2,5,0.15070249991438084,0.24191498756408691,0.4897556527268609,0.5068201,83.04293513298035
ASD9,3,1,0.1502378232444157,0.24658286571502686,0.48875436255153576,0.5109383,66.81127572059631
ASD9,3,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.18134593963623
ASD9,3,3,0.1504151522464633,0.24480324983596802,0.4842567548381874,0.5018693,61.692131757736206
ASD9,3,4,0.1543612828608371,0.2046583890914917,0.4867755467768525,0.5048154,69.63245296478271
ASD9,3,5,0.15186344138065694,0.23019009828567505,0.4776941320302286,0.4987215,53.69329810142517
ACE15,4,1,0.14984441004260682,0.25052350759506226,0.48778105551595874,0.50595146,79.86086368560791
ACE15,4,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.24930286407471
ACE15,4,3,0.15450070595194199,0.20322096347808838,0.4861438590362695,0.5025909,78.322420835495
ACE15,4,4,0.15098369379214607,0.2390834093093872,0.48820459931958193,0.5096394,90.17639803886414
ACE15,4,5,0.15011902224600476,0.2477738857269287,0.49250115028312264,0.5069222,61.159650564193726
ACE18,5,1,0.1532725180706204,0.21583843231201172,0.4810603490612424,0.48977858,52.16057538986206
ACE18,5,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.22412610054016
ACE18,5,3,0.15191352445899986,0.22968238592147827,0.4845579602921585,0.5031641,73.62357449531555
ACE18,5,4,0.15151600444054217,0.23370856046676636,0.48974614689647405,0.5002965,80.88810634613037
ACE18,5,5,0.1505641431659426,0.24330633878707886,0.49783735222863806,0.51042604,74.91148209571838
SUD18,6,1,0.1531824719340395,0.2167595624923706,0.4813257810943497,0.49033767,52.02020764350891
SUD18,6,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.34518265724182
SUD18,6,3,0.1518636192268759,0.23018842935562134,0.48535546571309757,0.50367886,73.64629340171814
SUD18,6,4,0.1515686110119896,0.2331763505935669,0.4893832941637818,0.500192,80.78774785995483
SUD18,6,5,0.15051718749236515,0.24377822875976562,0.49797119319553323,0.5110776,74.96050953865051
SES,7,1,0.1532170318388141,0.21640610694885254,0.4801480424579401,0.4896425,52.0507493019104
SES,7,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.25313687324524
SES,7,3,0.1518866393550656,0.2299550175666809,0.4856659801311456,0.5037893,73.58728766441345
SES,7,4,0.15160143784653282,0.23284417390823364,0.4889076932830998,0.50004333,80.73550152778625
SES,7,5,0.1504818899491915,0.2441328763961792,0.4979438569022317,0.511505,74.94833302497864
SEX,8,1,0.15035562603425362,0.24540084600448608,0.4854083383791541,0.5004517,51.98722696304321
SEX,8,2,0.15044108076988716,0.24454277753829956,0.4909684054426536,0.51072913,54.21581029891968
SEX,8,3,0.1494180828376377,0.2547820806503296,0.49595522593581776,0.51791024,56.23142647743225
SEX,8,4,0.15511810882686686,0.19684022665023804,0.48058398883907977,0.49847755,62.8158757686615
SEX,8,5,0.15185763366726054,0.23024898767471313,0.494456201481839,0.5026839,64.9565589427948
