Modality,High SCZ gate (mean),High SCZ gate (std),Low SCZ gate (mean),Low SCZ gate (std),Difference,p_value
SEX,0.5129121,0.039428856,0.48560634,0.025880182,0.027305752,2.1305539e-17
SUD15,0.48156112,0.012421843,0.4735331,0.0080514,0.00802803,1.9948378e-16
ACE15,0.49321276,0.013458825,0.48914427,0.008264913,0.004068494,0.0020429497
ADHD9,0.5218285,0.00580094,0.51960576,0.0039554583,0.0022227168,0.00014657911
SUD18,0.5685332,0.018505665,0.56688064,0.010778091,0.0016525388,0.21261115
batch*PC,0.5095468,0.0017025081,0.50913095,0.0013201,0.0004158616,0.029457109
SCZ15,0.48950055,0.0030713694,0.49008644,0.0023361712,-0.00058588386,0.06505916
PRS,0.50374013,0.003646994,0.504934,0.0021058389,-0.001193881,0.0001256481
ASD9,0.48497546,0.0048764525,0.486779,0.0033623243,-0.0018035471,8.91677e-06
SES,0.38957995,0.017317593,0.39370066,0.011017688,-0.0041207075,0.06317497
ACE18,0.5104137,0.010095986,0.5160626,0.0077960757,-0.005648911,2.41638e-11
