number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
0,0.17696197058187627,2026-04-29 01:07:03.919467,2026-04-29 01:07:21.349303,0 days 00:00:17.429836,mse,16,0.35615213868535966,6,2.1743422183077334,4,0.15333633015690565,1,1,3,2,4,4,2,5,3,4.827997405486851e-05,7,23,0.4722940033452621,3,5,1.3233170642076544e-05,COMPLETE
1,0.1707573117251745,2026-04-29 01:07:21.350117,2026-04-29 01:07:37.873442,0 days 00:00:16.523325,huber,32,0.11385101663605975,8,1.7234145189386305,9,0.11011337229072705,3,5,1,5,4,2,4,5,3,6.173591846405484e-05,8,11,0.4614354135406624,3,3,0.006965815626820463,COMPLETE
2,0.15821390350735257,2026-04-29 01:07:37.874246,2026-04-29 01:09:06.176772,0 days 00:01:28.302526,mse,8,0.3485466960534518,8,2.246286237671578,2,0.09278638869038291,2,3,5,5,4,5,5,2,5,0.0005132103420388684,19,22,0.6239852878119585,5,6,0.003999499770910396,COMPLETE
3,0.168431061664105,2026-04-29 01:09:06.177561,2026-04-29 01:10:15.815888,0 days 00:01:09.638327,mse,4,0.4563964865158775,6,0.8916213496113128,14,0.1362404533353927,3,4,2,3,5,3,1,2,1,1.2050722089484438e-05,15,17,0.6401147465087352,3,5,0.0014555749013365992,COMPLETE
4,0.16509508841031817,2026-04-29 01:10:15.816718,2026-04-29 01:10:35.915777,0 days 00:00:20.099059,mse,16,0.40772987247412484,6,1.3086451621524249,8,0.1163456146796979,1,3,5,5,4,4,5,3,1,0.002560401311464407,5,16,0.4396177560528077,5,2,0.0004352625783053177,COMPLETE
5,0.152618777391536,2026-04-29 01:10:35.916583,2026-04-29 01:11:37.168721,0 days 00:01:01.252138,mse,4,0.25893765571569427,5,0.8869880458212918,5,0.13612346964638003,3,1,1,1,4,2,4,4,2,0.0003435967564936163,12,19,0.4347415301312368,3,7,0.0001764525146416123,COMPLETE
6,0.17190685302172315,2026-04-29 01:11:37.169549,2026-04-29 01:11:47.138202,0 days 00:00:09.968653,mse,32,0.462635918553325,7,2.739202740897359,12,0.11790952111211543,5,2,1,5,1,1,5,5,2,2.011264193436685e-05,7,20,0.4547165115358324,3,8,0.00011957446230425334,PRUNED
7,0.1564059611631274,2026-04-29 01:11:47.138962,2026-04-29 01:12:28.765670,0 days 00:00:41.626708,mse,8,0.2483998335850179,3,2.1978065638739332,2,0.15016857345320744,1,1,3,5,4,5,5,2,1,0.00044476270451787424,14,19,0.39579929019241344,4,7,2.168768296901957e-05,COMPLETE
8,0.16647595928945186,2026-04-29 01:12:28.766496,2026-04-29 01:13:06.824236,0 days 00:00:38.057740,mse,6,0.1427050270785784,4,2.1322171153441247,11,0.07146480052864926,1,2,3,3,2,2,4,3,5,1.6014639244688785e-05,17,25,0.6953051166381178,2,4,5.481544257617842e-05,COMPLETE
9,0.15990161424514465,2026-04-29 01:13:06.825069,2026-04-29 01:14:04.234877,0 days 00:00:57.409808,huber,6,0.4435117688967719,8,2.27995510875071,2,0.0851132813181781,3,3,2,3,5,1,4,1,5,0.00010249710358288774,10,10,0.6375365026095604,4,5,0.0014187540312783295,COMPLETE
10,0.15105277601580916,2026-04-29 01:14:04.235677,2026-04-29 01:14:56.143605,0 days 00:00:51.907928,huber,4,0.22976566799472822,4,0.619501281772681,7,0.1970387049277539,5,1,4,1,2,2,3,4,2,0.006750295508808858,11,30,0.3231072992903118,2,8,0.00026131274459119185,COMPLETE
11,0.15214329761055037,2026-04-29 01:14:56.144419,2026-04-29 01:15:55.625207,0 days 00:00:59.480788,huber,4,0.23627100608195442,4,0.5608204689738744,6,0.1997013074855153,5,1,4,1,2,2,3,4,2,0.005721545573778574,11,30,0.30148719177008765,2,8,0.00019496694847891894,COMPLETE
12,0.15109171873894978,2026-04-29 01:15:55.626036,2026-04-29 01:17:20.699965,0 days 00:01:25.073929,huber,4,0.19380310830540598,4,0.5075042398012939,7,0.1976003806588079,5,2,4,1,2,3,2,4,2,0.00984235798930246,11,30,0.30525609208076154,2,8,0.00042026618999564674,COMPLETE
13,0.1574528351338459,2026-04-29 01:17:20.700794,2026-04-29 01:19:00.437056,0 days 00:01:39.736262,huber,4,0.19139285035120218,3,0.5167959387076266,7,0.016098542551139808,4,2,4,2,2,3,2,4,4,0.009375698115408112,10,30,0.34004704958156823,2,7,0.0006034729016627398,COMPLETE
14,0.1514074333585588,2026-04-29 01:19:00.437864,2026-04-29 01:19:38.110547,0 days 00:00:37.672683,huber,4,0.18924268055427296,4,1.1940727337332226,11,0.19920881086994024,5,2,4,1,1,4,2,3,2,0.001650429065509917,14,27,0.3701240720269805,2,8,5.520429517763897e-05,COMPLETE
