number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
0,0.09085364396642441,2026-04-29 00:03:01.436540,2026-04-29 00:04:27.610450,0 days 00:01:26.173910,mse,6,0.149629815330862,8,2.8549161502623557,8,0.15780578422258573,3,3,2,4,2,5,4,4,4,0.0003450385569608915,5,11,0.4419406691147032,4,5,6.595933446829832e-05,COMPLETE
1,0.09105877692401484,2026-04-29 00:04:27.611410,2026-04-29 00:05:16.473086,0 days 00:00:48.861676,huber,8,0.3865153433541202,8,1.4232379003714626,12,0.1112710018461958,2,2,3,3,2,4,2,4,5,0.0049343621540916234,10,18,0.4240663042296575,3,7,0.000719287662459365,COMPLETE
2,0.09363417125920742,2026-04-29 00:05:16.473984,2026-04-29 00:07:20.425728,0 days 00:02:03.951744,mse,6,0.3105688063630544,6,1.3693971721867824,15,0.043650995488147014,1,1,5,2,4,5,1,2,1,6.503024468842336e-05,17,24,0.3256976371304872,5,5,0.0008052837504272792,COMPLETE
3,0.08972527632997604,2026-04-29 00:07:20.426600,2026-04-29 00:09:21.907356,0 days 00:02:01.480756,mse,6,0.2182258461783861,8,1.1632018511426225,3,0.0927877834179746,1,3,5,2,1,3,1,5,1,0.0010666237512537942,12,30,0.6498865704718182,4,5,0.0014152409171748774,COMPLETE
4,0.08917975215600402,2026-04-29 00:09:21.908223,2026-04-29 00:10:10.458884,0 days 00:00:48.550661,huber,6,0.1618323690468092,6,1.4597666014867623,13,0.14240414430157347,4,2,4,4,1,4,1,1,2,0.0047777604842542875,6,17,0.4462293776913201,5,6,4.322996835482004e-05,COMPLETE
5,0.09420717051980118,2026-04-29 00:10:10.459746,2026-04-29 00:10:19.097230,0 days 00:00:08.637484,mse,32,0.1679893981928,4,2.8165219383656472,9,0.1464260897676858,3,2,4,2,4,2,4,1,3,0.008612851997339186,15,10,0.6231643460726843,5,8,1.5201407920859474e-05,COMPLETE
6,0.11359136571703778,2026-04-29 00:10:19.098096,2026-04-29 00:10:32.186260,0 days 00:00:13.088164,mse,16,0.3509429286923801,4,2.1879578238144557,14,0.16345448492035708,1,4,3,2,1,2,4,5,5,2.6581381128828006e-05,6,25,0.620377140814768,4,6,1.5624470159101384e-05,PRUNED
7,0.09115277218518743,2026-04-29 00:10:32.187046,2026-04-29 00:11:46.909470,0 days 00:01:14.722424,mse,6,0.10068463845231874,8,0.7660530963939228,15,0.08455354140808154,5,4,5,1,5,5,1,4,5,0.000410978404185777,18,27,0.5591768232464863,4,6,0.00035758627613384725,COMPLETE
8,0.09293462904515032,2026-04-29 00:11:46.910274,2026-04-29 00:12:10.161997,0 days 00:00:23.251723,mse,16,0.1666471259988255,4,1.0883023970370598,13,0.16658467618803768,5,4,5,4,1,1,1,5,5,0.008390588294348234,11,18,0.408305554918287,3,4,0.0011866974890637474,COMPLETE
9,0.09696745191056223,2026-04-29 00:12:10.162810,2026-04-29 00:13:32.450728,0 days 00:01:22.287918,huber,6,0.2747969457946704,4,2.285628993545817,6,0.14744928421908585,5,5,4,5,4,5,2,4,5,3.927666037641767e-05,5,11,0.6605214409323709,3,7,0.0011204501993525872,PRUNED
10,0.08883958953913638,2026-04-29 00:13:32.453025,2026-04-29 00:15:01.826558,0 days 00:01:29.373533,huber,4,0.4921028559723807,6,0.5425080300191436,11,0.01707946996028749,4,1,1,5,2,3,5,1,2,0.001440480783008361,8,15,0.5153854013528417,2,2,9.438463922630498e-05,COMPLETE
11,0.08901694538167695,2026-04-29 00:15:01.827381,2026-04-29 00:16:15.209544,0 days 00:01:13.382163,huber,4,0.47967838003504626,6,0.6661308775829138,11,0.02346982974218087,4,1,1,5,2,3,5,1,2,0.0018375444736857564,8,15,0.5257960856767695,2,2,8.482040840591085e-05,COMPLETE
12,0.08869736027930415,2026-04-29 00:16:15.210368,2026-04-29 00:18:19.658256,0 days 00:02:04.447888,huber,4,0.4963104379489801,6,0.559938495954553,11,0.012578730689892265,4,1,1,5,2,3,5,2,2,0.0014663690330004235,9,15,0.5308207682227687,2,2,0.000113487316679276,COMPLETE
13,0.0908908365085522,2026-04-29 00:18:19.659081,2026-04-29 00:19:17.204139,0 days 00:00:57.545058,huber,4,0.4921424828624847,5,0.7481748537232316,10,0.010484411227529161,4,1,1,5,3,2,5,2,2,0.0011891798830554606,9,14,0.5609271444996696,2,2,0.004476127712510368,COMPLETE
14,0.09212973287994787,2026-04-29 00:19:17.204987,2026-04-29 00:20:41.498958,0 days 00:01:24.293971,huber,4,0.43282193493887633,7,0.5126371214955474,6,0.05831122317835947,4,1,2,5,3,4,5,2,3,0.00010487469920168486,14,22,0.49091295115843053,2,3,0.00017414323692004657,PRUNED
15,0.08908039758108875,2026-04-29 00:20:41.499698,2026-04-29 00:22:03.448851,0 days 00:01:21.949153,huber,4,0.42948210207521537,5,1.8871429755563114,7,0.04213866505677502,3,2,2,4,3,3,3,3,2,0.0021113594244482363,8,14,0.497868445563042,2,3,0.0001765442370085558,COMPLETE
16,0.08933805077058633,2026-04-29 00:22:03.449668,2026-04-29 00:23:41.157207,0 days 00:01:37.707539,huber,4,0.4399908777661039,7,1.0131159706458241,11,0.19650384974558494,2,1,1,3,2,1,4,2,1,0.0005949756233135244,13,20,0.3485731866225169,3,3,3.328899290473538e-05,COMPLETE
17,0.08968337402589324,2026-04-29 00:23:41.158050,2026-04-29 00:24:02.995090,0 days 00:00:21.837040,huber,8,0.38352514655877057,3,0.5164893015503448,2,0.06433589338820825,4,2,1,3,2,3,5,3,3,0.0027750238422294235,8,16,0.5737908913431512,2,2,0.00014321771209893858,COMPLETE
18,0.11218159605605464,2026-04-29 00:24:02.995918,2026-04-29 00:24:10.235125,0 days 00:00:07.239207,huber,32,0.498694365899477,7,1.7064583474088975,16,0.026561247501999848,2,3,2,5,2,2,3,1,4,0.000616115116844209,10,13,0.3854118718898345,2,4,0.0003775857186355119,PRUNED
