Variable,Estimate,Std. Error,t value,p_value,significance
ACE18_emotional_abuse18,-0.0821,0.0072,-11.353,3.85e-29,***
SCZ15_unhappy15,0.041,0.0064,6.434,1.5e-10,***
SCZ15_headaches15,0.0305,0.0048,6.374,2.19e-10,***
SCZ15_worry15,0.0192,0.005,3.821,1.36e-4,***
SCZ15_Extreme_excitement15,-0.0124,0.0034,-3.667,2.5e-4,***
SCZ15_Too_much_energy15,0.0129,0.0044,2.957,0.00313,**
SUD15_Cigarettes15:ADHD9_difficulty_calm9,0.0424,0.0153,2.776,0.00555,**
factor(batch)GSA3:PC1,-3.0065,1.0867,-2.767,0.00571,**
SUD15_Alcohol15:ASD9_uninterested_sharing9,0.0572,0.0215,2.665,0.00776,**
ASD9_uninterested_sharing9,-0.1901,0.0765,-2.487,0.013,*
SUD15_Snuff15:ASD9_difficulty_socialize9,-0.0749,0.0306,-2.447,0.0145,*
ADHD9_often_blurt_out9,-0.0192,0.008,-2.403,0.0163,*
SUD15_Cigarettes15:SCZ15_worry15,-0.0125,0.0053,-2.381,0.0174,*
ASD9_repeat_words9,-0.1172,0.0496,-2.363,0.0182,*
SUD15_Alcohol15:ASD9_repeat_words9,0.0307,0.0133,2.301,0.0215,*
SEX,0.0563,0.0252,2.236,0.0255,*
ASD9_talk_too_high_low9,0.0199,0.0091,2.187,0.0289,*
SUD15_Painkillers_opioids15:ASD9_talk_too_high_low9,-0.0524,0.024,-2.184,0.0291,*
SUD15_OtherDrugs15:SCZ15_headaches15,0.0268,0.0125,2.149,0.0317,*
factor(batch)GSA3:PC2,2.2698,1.0963,2.07,0.0385,*
SCZ15_Rage_attacks15,0.0143,0.0069,2.059,0.0396,*
ACE15_emotional_bullying15,0.0468,0.0228,2.053,0.0402,*
SUD15_Alcohol15:PRS_Upper_layer_intratelenceph,0.0582,0.0285,2.042,0.0413,*
SCZ15_Special_powers15,-0.0215,0.0107,-2.014,0.0442,*
factor(batch)GSA1:PC1,0.8621,0.4347,1.983,0.0474,*
