Variable,Estimate,Std. Error,t value,p_value,significance
ACE18_emotional_abuse18,-0.0382,0.0041,-9.21,6.76e-20,***
SCZ15_Extreme_excitement15,0.0101,0.0019,5.207,2.08e-7,***
SCZ15_Seen_hallucinations15,0.0211,0.0045,4.704,2.69e-6,***
SCZ15_Too_much_energy15,0.0103,0.0025,4.111,4.07e-5,***
ACE18_witness_crime18,-0.024,0.0063,-3.801,1.48e-4,***
SCZ15_headaches15,0.0089,0.0027,3.241,0.00121,**
SCZ15_Special_messages15,0.0776,0.0245,3.172,0.00153,**
ACE15_emotional_bullying15,0.0402,0.0131,3.067,0.00218,**
SCZ15_Talking_fast15,0.008,0.0026,3.055,0.00227,**
SCZ15_Read_others_minds15,0.0069,0.0025,2.782,0.00545,**
SUD15_OtherDrugs15:PRS_MGE_interneuron,0.1126,0.0435,2.591,0.00963,**
SUD15_Alcohol15:ACE15_emotional_bullying15,-0.0088,0.0035,-2.503,0.0124,*
SUD15_Alcohol15:SCZ15_Special_messages15,-0.0166,0.0067,-2.473,0.0135,*
SUD15_OtherDrugs15:PRS_Eccentric_medium_spiny_neu,0.0991,0.0401,2.469,0.0136,*
SUD15_Painkillers_opioids15:ACE18_other_abuse18,0.3727,0.1559,2.39,0.0169,*
SCZ15_Rage_attacks15,0.0094,0.004,2.37,0.0179,*
SUD15_Snuff15:SCZ15_Extreme_excitement15,-0.0074,0.0031,-2.362,0.0183,*
SUD15_Painkillers_opioids15:SCZ15_Under_control_special_power15,-0.0143,0.0061,-2.36,0.0184,*
SCZ15_Spied15,0.0065,0.0028,2.3,0.0215,*
SUD15_Alcohol15:PRS_CGE_interneuron,0.0343,0.0156,2.197,0.0281,*
SUD15_Painkillers_opioids15,-0.3427,0.1579,-2.171,0.03,*
ASD9_easily_influenced9,0.0077,0.0038,1.995,0.0461,*
SUD15_Alcohol15:SCZ15_Irritable15,0.0047,0.0024,1.909,0.0564,.
ASD9_delay_language9,0.0086,0.0045,1.908,0.0565,.
ASD9_absorbed_own9,-0.0116,0.0061,-1.895,0.0582,.
SUD15_Alcohol15:ADHD9_not_listening9,-0.0081,0.0043,-1.858,0.0633,.
SUD15_Alcohol15:SCZ15_lose_confidence15,0.0045,0.0025,1.783,0.0748,.
SUD15_Cannabis15:ASD9_absorbed_details9,0.0406,0.0236,1.721,0.0854,.
SUD15_Cannabis15:SCZ15_Unrealistic_abilities15,0.0285,0.0168,1.702,0.0889,.
SUD15_OtherDrugs15:ADHD9_avoid_mental_effort_tasks9,0.0211,0.0125,1.694,0.0903,.
SES_education_father,-0.0028,0.0017,-1.641,0.101,
SCZ15_Hear_voices15,0.0117,0.0071,1.639,0.101,
ASD9_uninterested_sharing9,0.0715,0.0439,1.63,0.103,
ADHD9_not_listening9,0.0256,0.0159,1.614,0.107,
SCZ15_lose_confidence15,-0.0148,0.0092,-1.611,0.107,
ADHD9_difficulty_organizing_tasks9,-0.0109,0.0071,-1.528,0.127,
SUD15_Cigarettes15:SES_birth_country_mother,0.0065,0.0042,1.524,0.128,
ADHD9_often_interrupt9,-0.0082,0.0055,-1.495,0.135,
SUD15_OtherDrugs15:ASD9_difficulty_on_track9,-0.032,0.0216,-1.481,0.139,
SUD15_Cigarettes15:ADHD9_often_lose_things9,-0.0072,0.005,-1.449,0.147,
ASD9_difficulty_converse9,-0.0194,0.0134,-1.449,0.148,
SUD15_Snuff15:SCZ15_Talking_fast15,0.0066,0.0045,1.441,0.15,
SUD15_Painkillers_opioids15:PRS_Medium_spiny_neuron,-0.0545,0.0381,-1.428,0.153,
SCZ15_Irritable15,-0.0126,0.0089,-1.426,0.154,
ASD9_difficulty_on_track9,0.0091,0.0064,1.422,0.155,
SUD15_Painkillers_opioids15:ASD9_dislike_change9,-0.017,0.012,-1.411,0.158,
factor(batch)PSYC:PC2,-0.1808,0.1298,-1.393,0.164,
SUD15_Painkillers_opioids15:PRS_Deep_layer_intratelencepha,0.0461,0.0332,1.388,0.165,
SUD15_Cigarettes15:ACE15_bullied_often15,0.0052,0.0038,1.373,0.17,
SUD15_Snuff15:ACE15_tease_bullying15,-0.0079,0.0058,-1.366,0.172,
SUD15_Painkillers_opioids15:ADHD9_difficulty_waiting9,0.013,0.0096,1.352,0.177,
SUD15_Cigarettes15:SCZ15_Racing_thoughts15,-0.0036,0.0027,-1.322,0.186,
SUD15_Alcohol15:ADHD9_often_forgetful9,0.0056,0.0043,1.307,0.191,
SUD15_Alcohol15:SCZ15_Sexual_inappropriate15,0.0155,0.0119,1.295,0.195,
SUD15_Cannabis15:PRS_LAMP5_LHX6_and_Chandelier,-0.0781,0.0631,-1.238,0.216,
SUD15_Cigarettes15:ADHD9_easily_bored9,0.0058,0.0047,1.227,0.22,
SUD15_Alcohol15:PRS_Upper_layer_intratelenceph,0.0195,0.0164,1.193,0.233,
SUD15_Snuff15:ADHD9_often_motor9,-0.0097,0.0082,-1.189,0.234,
SUD15_Alcohol15:ASD9_uninterested_sharing9,-0.0146,0.0123,-1.183,0.237,
SUD15_Cigarettes15:SEX,-0.0077,0.0065,-1.181,0.238,
SUD15_Cigarettes15:PRS_Amygdala_excitatory,0.0265,0.0226,1.176,0.24,
SUD15_Cannabis15:PRS_all,-0.0251,0.0215,-1.167,0.243,
SUD15_Snuff15:ASD9_difficulty_converse9,-0.0561,0.049,-1.143,0.253,
SUD15_Cigarettes15:ACE18_emotional_abuse18,-0.0053,0.0047,-1.126,0.26,
SUD15_Cannabis15:SCZ15_Special_powers15,0.0232,0.0207,1.12,0.263,
SUD15_Cigarettes15:SCZ15_Seen_hallucinations15,-0.0044,0.004,-1.099,0.272,
SUD15_Cigarettes15:ASD9_difficulty_express9,-0.0432,0.0397,-1.089,0.276,
ADHD9_easily_bored9,-0.0045,0.0044,-1.042,0.297,
SCZ15_Unrealistic_abilities15,0.0081,0.0079,1.034,0.301,
SUD15_Cannabis15:ACE15_other_bullying15,-0.0132,0.013,-1.017,0.309,
SCZ15_Under_control_special_power15,0.0045,0.0045,1.011,0.312,
SUD15_OtherDrugs15,-0.0313,0.0312,-1.001,0.317,
ASD9_difficulty_pretend_play9,-0.0088,0.0093,-0.954,0.34,
SUD15_Painkillers_opioids15:ADHD9_difficulty_organizing_tasks9,-0.0144,0.0151,-0.948,0.343,
SES_birth_country_mother,-0.0046,0.0049,-0.934,0.351,
SUD15_Painkillers_opioids15:SCZ15_Not_tired15,-0.0038,0.004,-0.932,0.351,
SUD15_Painkillers_opioids15:ACE15_bullying_by_num15,-0.0046,0.0051,-0.904,0.366,
SUD15_Cannabis15:SEX,0.0135,0.015,0.903,0.366,
ACE18_other_abuse18,-0.114,0.1263,-0.903,0.367,
ASD9_talk_too_high_low9,-0.0047,0.0052,-0.902,0.367,
SEX,-0.013,0.0145,-0.901,0.368,
ACE15_bullying_by_num15,-0.0033,0.0036,-0.901,0.368,
ASD9_difficulty_socialize9,0.0085,0.0099,0.862,0.389,
ACE15_rumours_bullying15,0.0038,0.0044,0.859,0.391,
SUD15_Cigarettes15:SCZ15_Spied15,0.0026,0.0031,0.836,0.403,
SCZ15_PROD_seen_hallucinations9,0.0084,0.0101,0.836,0.403,
SUD15_Cannabis15:ASD9_own_terms9,0.0166,0.0203,0.815,0.415,
ACE15_other_bullying15,0.003,0.0037,0.814,0.416,
SUD15_Snuff15:PRS_Hippocampal_CA4,0.024,0.0298,0.807,0.42,
SUD15_OtherDrugs15:ADHD9_often_interrupt9,0.0099,0.0124,0.796,0.426,
SUD15_OtherDrugs15:SCZ15_Read_others_minds15,0.0053,0.0067,0.794,0.427,
SCZ15_Sexual_inappropriate15,-0.0316,0.0403,-0.784,0.433,
SUD15_OtherDrugs15:ACE15_bullying_time15,0.003,0.0039,0.76,0.448,
SUD15_Painkillers_opioids15:ADHD9_often_move9,0.0093,0.0123,0.759,0.448,
SUD15_OtherDrugs15:SCZ15_headaches15,-0.0052,0.0072,-0.721,0.471,
SES_birth_country_father,-0.0085,0.0119,-0.717,0.473,
ACE15_tease_bullying15,0.003,0.0042,0.711,0.477,
SUD15_Cannabis15:ACE15_rumours_bullying15,0.0082,0.0117,0.702,0.483,
