Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
ACE18_emotional_abuse18,-0.0777,0.0032,0.0072,-10.829,0,0,0,0,5,5,100,***
SCZ15_unhappy15,0.042,0.0018,0.0063,6.652,1.86e-10,3.59e-11,1.1055600879217309e-12,7.837948068356582e-10,5,5,100,***
SCZ15_headaches15,0.0293,0.0019,0.0047,6.249,7.02e-9,1.83e-10,8.475264934304505e-11,3.440995843817518e-8,5,5,100,***
SCZ15_Extreme_excitement15,-0.0118,8e-4,0.0033,-3.542,5.29e-4,3.52e-4,1.3077448005205383e-4,9.883124940379684e-4,5,5,100,***
SCZ15_worry15,0.019,0.0042,0.005,3.816,0.0013,1.73e-4,3.7970054411751164e-7,0.00576622112899372,5,5,100,**
PRS_all,0.0267,0.0047,0.0099,2.694,0.0124,0.0128,7.531350698011252e-4,0.026805330877127664,5,5,100,*
ADHD9_often_blurt_out9,-0.0179,0.0024,0.008,-2.246,0.033,0.0175,0.015211001591175721,0.09739423573758166,4,5,80,*
SEX,0.0568,0.0136,0.0248,2.292,0.0358,0.0243,0.0012832807339657748,0.0709253843187998,3,5,60,*
SUD15_Alcohol15:ASD9_uninterested_sharing9,0.0492,0.01,0.0245,2.073,0.0658,0.0329,0.008044462887775383,0.22768793152634892,4,5,80,.
SCZ15_Rage_attacks15,0.0129,0.0023,0.0069,1.878,0.0724,0.0708,0.015344997388318404,0.11835005269262089,2,5,40,.
SUD15_Alcohol15:PRS_Upper_layer_intratelenceph,0.0551,0.0149,0.028,1.965,0.0724,0.0602,0.005940204859513187,0.17907826758369172,2,5,40,.
factor(batch)PSYC:PC2,-0.4555,0.1395,0.2305,-1.977,0.0753,0.0562,0.0030880651044369323,0.15667266243254163,2,5,40,.
factor(batch)GSA3:PC1,-1.7136,1.4087,0.6881,-2.173,0.0807,0.06,6.529291451773389e-4,0.26125997112885413,2,5,40,.
ASD9_uninterested_sharing9,-0.1658,0.0301,0.0906,-1.903,0.0833,0.0364,0.013592384665992885,0.235579085883592,3,5,60,.
SCZ15_Unrealistic_abilities15,0.0236,0.0041,0.0134,1.762,0.0894,0.0715,0.026689826086717217,0.1603725529609341,1,5,20,.
ASD9_repeat_words9,-0.0873,0.0243,0.0485,-1.81,0.102,0.074,0.015345469737562123,0.28847206180853124,2,5,40,
ASD9_difficulty_converse9,-0.045,0.0171,0.0221,-2.066,0.102,0.017,0.0017798405563578257,0.27139571575083465,3,5,60,
ASD9_talk_too_high_low9,0.0152,0.0024,0.0091,1.671,0.104,0.0956,0.03943373823444052,0.1709435942430506,1,5,20,
SES_birth_country_father,-0.0445,0.0194,0.0206,-2.161,0.11,0.00691,0.002810446935098243,0.40684168535638277,3,5,60,
SCZ15_Too_much_energy15,0.0085,0.0038,0.0043,1.961,0.113,0.102,0.002584761105814959,0.22964670299986056,2,5,40,
PRS_Upper_layer_intratelenceph,-0.1773,0.0471,0.1037,-1.708,0.113,0.103,0.0217226395292891,0.2764392617027238,1,5,20,
SUD15_Painkillers_opioids15:ASD9_talk_too_high_low9,-0.0419,0.0128,0.0238,-1.802,0.122,0.0617,0.008981095888612511,0.3942026868087938,2,5,40,
PRS_Cerebellar_inhibitory,0.0529,0.0149,0.0316,1.669,0.127,0.0822,0.04495407843936472,0.37552616067948597,2,5,40,
SUD15_Alcohol15:SCZ15_Sexual_inappropriate15,0.0381,0.0162,0.0211,1.775,0.128,0.0934,0.010660033947821335,0.3636869079245333,2,5,40,
SUD15_Alcohol15:ASD9_repeat_words9,0.0224,0.0074,0.0131,1.723,0.128,0.0996,0.018061937020119156,0.36744179174175695,2,5,40,
SCZ15_Sexual_inappropriate15,-0.1217,0.0578,0.0713,-1.673,0.145,0.134,0.007778415449233744,0.364069698610737,1,5,20,
SUD15_Snuff15:ASD9_absorbed_problems9,-0.0923,0.0238,0.0632,-1.446,0.16,0.117,0.08366836937733169,0.26262758846403633,0,5,0,
ADHD9_easily_distracted9,0.0116,0.0036,0.0081,1.438,0.178,0.205,0.02663719886702398,0.2505237637800233,1,5,20,
SUD15_Cigarettes15:SES_birth_country_mother,0.011,0.0036,0.0076,1.47,0.182,0.13,0.035500719582689966,0.41067454215017385,1,5,20,
SUD15_OtherDrugs15:SCZ15_headaches15,0.0185,0.0076,0.0123,1.506,0.19,0.141,0.02763196955837577,0.536029578268391,1,5,20,
SES_education_mother,0.0052,0.002,0.0036,1.44,0.194,0.2,0.021801874251737408,0.37954049852893856,1,5,20,
SUD15_Snuff15:ASD9_difficulty_converse9,0.1067,0.065,0.0684,1.607,0.196,0.0718,0.019007738278958852,0.7056811214107206,2,5,40,
SUD15_Cigarettes15:ADHD9_difficulty_calm9,0.0235,0.0123,0.0149,1.573,0.197,0.169,0.005776916789248521,0.5270226132580669,1,5,20,
