Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
ACE18_emotional_abuse18,-0.0398,0.0016,0.0041,-9.601,0,0,0,0,5,5,100,***
ACE18_witness_crime18,-0.0266,0.002,0.0064,-4.139,6.13e-5,5.09e-5,2.885216370263066e-6,1.5756766662766708e-4,5,5,100,***
SCZ15_Too_much_energy15,0.0104,0.0012,0.0025,4.177,9.92e-5,5.35e-5,1.3492024721895035e-6,0.00035982285548419313,5,5,100,***
SCZ15_Seen_hallucinations15,0.0197,0.0026,0.0045,4.408,1.13e-4,3.2e-6,4.430572053681914e-7,5.1955370062573e-4,5,5,100,***
SCZ15_headaches15,0.0105,0.0014,0.0027,3.852,3.94e-4,2.48e-4,4.343710534371326e-6,0.0013656926768514932,5,5,100,***
SCZ15_Extreme_excitement15,0.0078,0.0019,0.0019,4.059,5.37e-4,5.55e-4,1.5816219045561297e-7,0.0015384610716813185,5,5,100,***
SCZ15_Special_messages15,0.0895,0.0207,0.0261,3.403,0.00182,0.00115,3.6082953471350265e-5,0.006181492206695172,5,5,100,**
SCZ15_Talking_fast15,0.0085,0.001,0.0026,3.25,0.00228,6.99e-4,3.4654392529898104e-4,0.007887102477918795,5,5,100,**
SCZ15_Read_others_minds15,0.0079,0.0013,0.0025,3.165,0.0039,0.00149,7.642481569636317e-5,0.01121346976943105,5,5,100,**
SUD15_Alcohol15:SCZ15_Special_messages15,-0.0201,0.0057,0.0072,-2.755,0.0137,0.00543,2.7925635963343964e-4,0.044874083543041454,5,5,100,*
PRS_all,0.016,0.0047,0.0057,2.817,0.0191,0.00482,6.585969251293733e-5,0.04682136907297063,5,5,100,*
ACE15_emotional_bullying15,0.0291,0.007,0.0123,2.354,0.0283,0.0298,0.002267173729270766,0.06201095081269492,4,5,80,*
SUD15_Snuff15:SCZ15_Talking_fast15,0.0101,0.0025,0.0045,2.237,0.0498,0.0152,0.00345829247776952,0.15925659796365133,3,5,60,*
SUD15_Alcohol15:ACE15_emotional_bullying15,-0.0069,0.0017,0.0033,-2.046,0.0575,0.0707,0.008948071680832559,0.11709750266487307,2,5,40,.
ASD9_difficulty_converse9,-0.0255,0.0052,0.0128,-2.006,0.0603,0.0484,0.005915907468858617,0.12643084726500975,3,5,60,.
factor(batch)PSYC:PC2,-0.273,0.0772,0.1317,-2.068,0.0659,0.025,0.007111908012166879,0.16574282661693873,3,5,60,.
SCZ15_Spied15,0.0061,0.0022,0.0028,2.161,0.0682,0.0304,6.98403884426213e-4,0.18182091244035048,3,5,60,.
SES_education_father,-0.0033,8e-4,0.0017,-1.919,0.0712,0.0691,0.006820293982297887,0.11551537234188602,1,5,20,.
ASD9_absorbed_own9,-0.012,0.0029,0.0062,-1.941,0.073,0.0469,0.01385848945054402,0.21072761250011163,3,5,60,.
ASD9_easily_influenced9,0.0071,0.0017,0.0039,1.837,0.092,0.0429,0.027215698412708766,0.28238921192917465,3,5,60,.
SUD15_Snuff15:ACE15_tease_bullying15,-0.0106,0.004,0.0059,-1.765,0.111,0.14,0.016967502180494698,0.22137562247016995,2,5,40,
SUD15_Cigarettes15:SCZ15_Racing_thoughts15,-0.0045,8e-4,0.0027,-1.653,0.111,0.0719,0.055427605223935306,0.21643482370158762,0,5,0,
SUD15_Painkillers_opioids15:ACE15_bullying_by_num15,-0.0087,0.0031,0.0046,-1.893,0.112,0.0601,0.003067033210153003,0.36530650619217697,2,5,40,
SUD15_Cannabis15:PRS_all,-0.0375,0.013,0.0209,-1.796,0.113,0.144,0.008438956188024038,0.2347244394545962,2,5,40,
SUD15_Painkillers_opioids15:ACE18_other_abuse18,0.2655,0.0844,0.1555,1.709,0.12,0.118,0.01683156299912203,0.22934260691412756,1,4,20,
SUD15_Painkillers_opioids15,-0.1852,0.1436,0.1305,-0.856,0.133,0.101,0.03034396826439778,0.2545327595816764,1,5,20,
SUD15_Painkillers_opioids15:PRS_Medium_spiny_neuron,-0.0555,0.0049,0.0371,-1.495,0.138,0.134,0.08838356139619297,0.19027463902293218,0,5,0,
SUD15_OtherDrugs15:ADHD9_avoid_mental_effort_tasks9,0.0202,0.005,0.0131,1.552,0.143,0.0915,0.056331503408312056,0.27840921665513463,0,5,0,
SCZ15_Rage_attacks15,0.0073,0.0029,0.004,1.819,0.144,0.0394,0.021019828545215002,0.5779883505224732,3,5,60,
ACE15_rumours_bullying15,0.007,0.0021,0.0044,1.59,0.146,0.0777,0.034377866950013214,0.3727294470926399,1,5,20,
SUD15_OtherDrugs15:PRS_Eccentric_medium_spiny_neu,0.0669,0.0236,0.0407,1.655,0.146,0.141,0.015571754791479098,0.3212147747793319,2,5,40,
SUD15_Alcohol15:ADHD9_often_forgetful9,0.0066,0.0017,0.0043,1.535,0.149,0.108,0.040642845648464876,0.3291878672107076,1,5,20,
SES_birth_country_father,-0.02,0.0079,0.0119,-1.68,0.157,0.0541,0.02123158096436062,0.5299714369919037,2,5,40,
SUD15_Alcohol15:SCZ15_Sexual_inappropriate15,0.0222,0.0105,0.0122,1.823,0.157,0.0379,0.004719165623838784,0.521027081841597,3,5,60,
SUD15_Alcohol15:PRS_CGE_interneuron,0.024,0.0075,0.016,1.505,0.167,0.186,0.03359375421836974,0.2835050501936227,1,5,20,
SUD15_Alcohol15:ADHD9_not_listening9,-0.0068,0.0026,0.0044,-1.545,0.169,0.135,0.02150642406108849,0.3634118835616107,1,5,20,
SUD15_Snuff15:SEX,-0.0139,0.0068,0.0083,-1.658,0.174,0.0871,0.009347330171079804,0.5030288865594956,2,5,40,
PRS_CGE_interneuron,-0.0878,0.0338,0.059,-1.492,0.185,0.267,0.030430358560397552,0.30120206256661675,2,5,40,
SUD15_OtherDrugs15:PRS_MGE_interneuron,0.0636,0.0292,0.0422,1.505,0.188,0.181,0.008915497590653576,0.32762413463205964,1,5,20,
SUD15_OtherDrugs15:SCZ15_headaches15,-0.0104,0.0044,0.0071,-1.461,0.205,0.088,0.026637164107404576,0.4710269558266602,1,5,20,
SUD15_Painkillers_opioids15:SCZ15_Not_tired15,0.0039,0.0046,0.0038,1.056,0.213,0.138,0.033353465732055554,0.4347607043678252,1,5,20,
SCZ15_Sexual_inappropriate15,-0.066,0.0366,0.0413,-1.594,0.213,0.0826,0.006562144360590549,0.49211227571430416,2,5,40,
SUD15_Cigarettes15:ADHD9_often_lose_things9,-0.0064,0.0025,0.0049,-1.319,0.233,0.171,0.03386380662569688,0.49084526608377343,1,5,20,
ACE15_tease_bullying15,0.0052,0.0013,0.0042,1.228,0.238,0.156,0.14530961129967235,0.450358377085025,0,5,0,
ADHD9_easily_bored9,-0.0057,0.0023,0.0044,-1.293,0.245,0.306,0.05553049938390542,0.48415506692788357,0,5,0,
SUD15_OtherDrugs15:SEX,0.0153,0.004,0.0127,1.215,0.246,0.199,0.12090149083332902,0.5279295245083804,0,5,0,
SCZ15_Hear_voices15,0.0091,0.0029,0.0074,1.241,0.247,0.229,0.0732660766139297,0.48769927833266724,0,5,0,
SUD15_Cigarettes15:SCZ15_Seen_hallucinations15,-0.0041,0.004,0.0039,-1.059,0.247,0.274,0.055845449400964586,0.5354604041632849,0,5,0,
SUD15_Snuff15:SCZ15_Extreme_excitement15,-0.0038,0.0045,0.0032,-1.198,0.249,0.0749,0.01801361544430713,0.7119442332312325,2,5,40,
SUD15_Snuff15:SES_education_mother,0.0043,0.0019,0.0034,1.282,0.251,0.277,0.049318301630988604,0.5331410838793504,1,5,20,
SUD15_Cigarettes15:ADHD9_easily_bored9,0.0064,0.0032,0.0047,1.352,0.253,0.244,0.02743869769050411,0.5058614291979615,1,5,20,
SUD15_Alcohol15:SCZ15_lose_confidence15,0.0032,0.0021,0.0025,1.297,0.271,0.127,0.04493622734769254,0.9110664623139453,1,5,20,
SEX,-0.0167,0.0056,0.0144,-1.167,0.271,0.283,0.06135378840550598,0.38923112263669,0,5,0,
SUD15_Cannabis15:SCZ15_Unrealistic_abilities15,0.0238,0.0133,0.0179,1.352,0.272,0.126,0.02740508292110544,0.8587019126918713,1,5,20,
SUD15_OtherDrugs15:ACE15_bullying_time15,0.0048,0.0024,0.0039,1.217,0.279,0.193,0.039371656217088935,0.5427449061124645,1,5,20,
SCZ15_lose_confidence15,-0.0108,0.0075,0.0091,-1.194,0.287,0.125,0.051157494614636256,0.8613504256866287,0,5,0,
SUD15_Painkillers_opioids15:ASD9_difficulty_expect_behavior9,-0.0134,0.0182,0.0183,-0.719,0.293,0.25,0.11838328209653581,0.5459955036665518,0,5,0,
ASD9_dislike_change9,0.0057,0.0022,0.0051,1.111,0.3,0.214,0.11050261073140044,0.5616586920404008,0,5,0,
SUD15_Alcohol15:SCZ15_Irritable15,0.0029,0.0015,0.0024,1.179,0.307,0.243,0.050767341989780945,0.818910763778514,0,5,0,
PRS_MGE_interneuron,-0.0193,0.0051,0.0187,-1.033,0.316,0.322,0.14049567069965962,0.47158910852876135,0,5,0,
ASD9_difficulty_socialize9,0.0125,0.0077,0.0102,1.232,0.317,0.336,0.039011416046651703,0.5887249518916859,2,5,40,
SCZ15_Unrealistic_abilities15,0.0088,0.0063,0.0078,1.137,0.322,0.175,0.03191392800479065,0.8922881257100079,1,5,20,
ADHD9_often_forgetful9,-0.0177,0.0099,0.0154,-1.139,0.328,0.152,0.09102987468839108,0.7997118013897924,0,5,0,
SUD15_OtherDrugs15:ASD9_difficulty_on_track9,-0.0224,0.0084,0.0219,-1.028,0.331,0.277,0.14510268974638896,0.6836054432236605,0,5,0,
ASD9_delay_language9,0.0048,0.0024,0.0045,1.055,0.339,0.33,0.05483334166785747,0.5916195825086903,0,5,0,
ADHD9_not_listening9,0.0174,0.0094,0.016,1.086,0.34,0.234,0.10137718206003177,0.716305851130248,0,5,0,
SUD15_Painkillers_opioids15:ADHD9_difficulty_organizing_tasks9,-0.0151,0.0031,0.0158,-0.965,0.343,0.371,0.18904379914810843,0.4407562363249702,0,5,0,
SUD15_Snuff15:PRS_Hippocampal_CA4,0.026,0.0053,0.0277,0.945,0.354,0.32,0.21589835152385373,0.46752014014841836,0,5,0,
SUD15_Cannabis15:ASD9_absorbed_details9,0.0189,0.0199,0.0228,0.803,0.354,0.325,0.07460432936733552,0.5907475755558929,0,5,0,
SCZ15_Racing_thoughts15,0.003,0.0013,0.003,1.003,0.355,0.315,0.11570575371753677,0.600929057255492,0,5,0,
SUD15_Alcohol15,-0.0149,0.0098,0.0137,-1.087,0.367,0.201,0.07771096042808923,0.8596612540018458,0,5,0,
ADHD9_difficulty_organizing_tasks9,-0.0069,0.0034,0.0071,-0.968,0.374,0.372,0.12315238846716436,0.6729473598008764,0,5,0,
SUD15_Painkillers_opioids15:ASD9_dislike_change9,-0.0102,0.0065,0.01,-1.039,0.381,0.199,0.06817289709087726,0.7733060728185213,0,5,0,
ASD9_difficulty_pretend_play9,-0.0084,0.0034,0.0092,-0.915,0.383,0.321,0.16399436605168782,0.6576034706444618,0,5,0,
SUD15_Cigarettes15:SCZ15_Spied15,0.003,0.0017,0.0031,0.974,0.383,0.353,0.1270240917264962,0.903374853876413,0,5,0,
ASD9_uninterested_sharing9,0.0424,0.0375,0.0524,0.895,0.384,0.24,0.11311275049449687,0.7866908968328423,0,5,0,
