Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
ACE18_emotional_abuse18,-0.0398,0.0016,0.0041,-9.601,0,0,0,0,5,5,100,***
ACE18_witness_crime18,-0.0266,0.002,0.0064,-4.139,6.13e-5,5.09e-5,2.885216370263066e-6,1.5756766662766708e-4,5,5,100,***
SCZ15_Too_much_energy15,0.0104,0.0012,0.0025,4.177,9.92e-5,5.35e-5,1.3492024721895035e-6,0.00035982285548419313,5,5,100,***
SCZ15_Seen_hallucinations15,0.0197,0.0026,0.0045,4.408,1.13e-4,3.2e-6,4.430572053681914e-7,5.1955370062573e-4,5,5,100,***
SCZ15_headaches15,0.0105,0.0014,0.0027,3.852,3.94e-4,2.48e-4,4.343710534371326e-6,0.0013656926768514932,5,5,100,***
SCZ15_Extreme_excitement15,0.0078,0.0019,0.0019,4.059,5.37e-4,5.55e-4,1.5816219045561297e-7,0.0015384610716813185,5,5,100,***
SCZ15_Special_messages15,0.0895,0.0207,0.0261,3.403,0.00182,0.00115,3.6082953471350265e-5,0.006181492206695172,5,5,100,**
SCZ15_Talking_fast15,0.0085,0.001,0.0026,3.25,0.00228,6.99e-4,3.4654392529898104e-4,0.007887102477918795,5,5,100,**
SCZ15_Read_others_minds15,0.0079,0.0013,0.0025,3.165,0.0039,0.00149,7.642481569636317e-5,0.01121346976943105,5,5,100,**
SUD15_Alcohol15:SCZ15_Special_messages15,-0.0201,0.0057,0.0072,-2.755,0.0137,0.00543,2.7925635963343964e-4,0.044874083543041454,5,5,100,*
PRS_all,0.016,0.0047,0.0057,2.817,0.0191,0.00482,6.585969251293733e-5,0.04682136907297063,5,5,100,*
