Variable,Estimate,Std. Error,t value,p_value,significance
ACE18_emotional_abuse18,-0.0379,0.0042,-9.11,0,***
SCZ15_Extreme_excitement15,0.0103,0.002,5.256,1.58e-7,***
SCZ15_Seen_hallucinations15,0.021,0.0045,4.667,3.2e-6,***
SCZ15_Too_much_energy15,0.0102,0.0025,4.046,5.35e-5,***
ACE18_witness_crime18,-0.0239,0.0063,-3.784,1.58e-4,***
SCZ15_headaches15,0.0088,0.0027,3.205,0.00137,**
SCZ15_Special_messages15,0.0778,0.0245,3.173,0.00153,**
SCZ15_Talking_fast15,0.0081,0.0026,3.089,0.00203,**
ACE15_emotional_bullying15,0.04,0.0131,3.056,0.00227,**
SCZ15_Read_others_minds15,0.0069,0.0025,2.748,0.00603,**
SUD15_OtherDrugs15:PRS_MGE_interneuron,0.1139,0.0435,2.617,0.00892,**
SUD15_Alcohol15:ACE15_emotional_bullying15,-0.0087,0.0035,-2.469,0.0136,*
SUD15_Alcohol15:SCZ15_Special_messages15,-0.0166,0.0067,-2.459,0.014,*
SUD15_OtherDrugs15:PRS_Eccentric_medium_spiny_neu,0.0973,0.0402,2.42,0.0156,*
SUD15_Painkillers_opioids15:ACE18_other_abuse18,0.3736,0.1562,2.392,0.0168,*
SUD15_Snuff15:SCZ15_Extreme_excitement15,-0.0075,0.0032,-2.367,0.018,*
SCZ15_Rage_attacks15,0.0092,0.004,2.303,0.0214,*
SCZ15_Spied15,0.0065,0.0028,2.293,0.0219,*
SUD15_Painkillers_opioids15:SCZ15_Under_control_special_power15,-0.0138,0.0061,-2.265,0.0236,*
SUD15_Painkillers_opioids15,-0.3427,0.1582,-2.167,0.0303,*
PRS_CGE_interneuron,-0.1248,0.0577,-2.166,0.0304,*
SUD15_Alcohol15:PRS_CGE_interneuron,0.0332,0.0156,2.126,0.0336,*
ASD9_easily_influenced9,0.0078,0.0038,2.025,0.0429,*
PRS_all,0.0115,0.0058,1.989,0.0468,*
SUD15_Alcohol15:SCZ15_Irritable15,0.0048,0.0024,1.954,0.0508,.
ASD9_delay_language9,0.0087,0.0045,1.921,0.0548,.
SUD15_Alcohol15:ADHD9_not_listening9,-0.0083,0.0043,-1.916,0.0554,.
ASD9_absorbed_own9,-0.0116,0.0061,-1.898,0.0578,.
SCZ15_Hear_voices15,0.0128,0.0071,1.792,0.0733,.
SUD15_Cannabis15:ASD9_absorbed_details9,0.0422,0.0236,1.784,0.0746,.
SUD15_Alcohol15:SCZ15_lose_confidence15,0.0044,0.0025,1.752,0.0798,.
SUD15_Cannabis15:SCZ15_Unrealistic_abilities15,0.0288,0.0168,1.716,0.0863,.
SUD15_OtherDrugs15:ADHD9_avoid_mental_effort_tasks9,0.021,0.0125,1.688,0.0915,.
SES_education_father,-0.0028,0.0017,-1.65,0.0991,.
ADHD9_not_listening9,0.026,0.0159,1.639,0.101,
ASD9_uninterested_sharing9,0.0696,0.0439,1.585,0.113,
SCZ15_lose_confidence15,-0.0145,0.0092,-1.579,0.115,
ADHD9_difficulty_organizing_tasks9,-0.011,0.0071,-1.542,0.123,
ASD9_difficulty_converse9,-0.0205,0.0134,-1.529,0.126,
SUD15_Cigarettes15:SES_birth_country_mother,0.0064,0.0042,1.516,0.13,
SUD15_Painkillers_opioids15:PRS_Medium_spiny_neuron,-0.0577,0.0382,-1.513,0.13,
ADHD9_often_interrupt9,-0.0083,0.0055,-1.512,0.131,
SUD15_OtherDrugs15:ASD9_difficulty_on_track9,-0.0315,0.0216,-1.457,0.145,
SCZ15_Irritable15,-0.0129,0.0089,-1.455,0.146,
SUD15_Snuff15:ACE15_tease_bullying15,-0.0083,0.0058,-1.425,0.154,
SUD15_Painkillers_opioids15:ASD9_dislike_change9,-0.0172,0.0121,-1.422,0.155,
SUD15_Snuff15:SCZ15_Talking_fast15,0.0064,0.0046,1.408,0.159,
factor(batch)PSYC:PC2,-0.1803,0.13,-1.386,0.166,
SUD15_Cigarettes15:ADHD9_often_lose_things9,-0.0069,0.005,-1.383,0.167,
ASD9_difficulty_on_track9,0.0088,0.0064,1.374,0.17,
SUD15_Alcohol15:ADHD9_often_forgetful9,0.0059,0.0043,1.354,0.176,
SUD15_Painkillers_opioids15:PRS_Deep_layer_intratelencepha,0.0438,0.0332,1.318,0.188,
SUD15_Cigarettes15:ACE15_bullied_often15,0.005,0.0038,1.313,0.189,
SUD15_Painkillers_opioids15:ADHD9_difficulty_waiting9,0.0126,0.0097,1.3,0.194,
PRS_Upper_layer_intratelenceph,-0.0781,0.0605,-1.29,0.197,
SUD15_Alcohol15:SCZ15_Sexual_inappropriate15,0.0154,0.012,1.288,0.198,
PRS_Deep_layer_corticothalamic,0.024,0.019,1.265,0.206,
SUD15_Cannabis15:PRS_LAMP5_LHX6_and_Chandelier,-0.0795,0.0632,-1.259,0.208,
